"Upit","Naslov oglasa","Grad","Sobe","Površina (m²)","Cijena","Poveznica","Ocjena A (0-3)","Ocjena B (0-3)","id (ne mijenjaj)"
"svijetao miran stan blizu parka","Apartment 30m2 (for rent)","Pula, Vidikovac","0","30","450 €","http://localhost:3000/listings/njuskalo-31915485","1","1","njuskalo-31915485"
"svijetao miran stan blizu parka","ZADAR, VOŠTARNICA - Apartment Near the Center","Zadar, Voštarnica","3","60","700 €","http://localhost:3000/listings/oglasnik-7088270","1","1","oglasnik-7088270"
"moderno uređen stan u centru grada","Gundulićeva Street – A Blend of Privacy and Urban Energy (For Sale)","Zagreb, Donji Grad","3","110","340.000 €","http://localhost:3000/listings/njuskalo-50178910","2","1","njuskalo-50178910"
"moderno uređen stan u centru grada","APARTMENT FOR SALE, ZAGREB, CENTER, 67 m2, 3-ROOM","Zagreb, Donji Grad","3","67","350.000 €","http://localhost:3000/listings/njuskalo-51231302","3","3","njuskalo-51231302"
"moderno uređen stan u centru grada","ILICA, STOGER KOLMAR BUILDING | 161.56 m² | 1ST FLOOR (for sale)","Zagreb, Donji Grad","5","161","888.500 €","http://localhost:3000/listings/njuskalo-50537192","2","1","njuskalo-50537192"
"moderno uređen stan u centru grada","APARTMENT FOR SALE, ZAGREB, DONJI GRAD, 26 m2, 1-BEDROOM","Zagreb, Donji Grad","1","26","105.000 €","http://localhost:3000/listings/njuskalo-51231280","2","1","njuskalo-51231280"
"obiteljski stan blizu škola i trgovina","Zadar, center, 40 m2, Stanovi neighborhood - near Višnjik","Zadar, Stanovi","1","40","650 €","http://localhost:3000/listings/oglasnik-7091583","1","1","oglasnik-7091583"
"obiteljski stan blizu škola i trgovina","KVATERNIKOV TRG - Martićeva - 50 m2, 2-bedroom + BALCONY - luxury (for rent)","Zagreb, Donji Grad","2","50","950 €","http://localhost:3000/listings/njuskalo-51207341","1","1","njuskalo-51207341"
"obiteljski stan blizu škola i trgovina","Apartment 64 m² FOR RENT Center, Primorska 2-bedroom, high ground floor, balcony","Zagreb, Donji Grad","2","64","1.300 €","http://localhost:3000/listings/oglasnik-7037414","3","3","oglasnik-7037414"
"obiteljski stan blizu škola i trgovina","Apartment: Donja Stubica, 84.00 m2, new construction - modern luxury apartment (for rent)","Donja Stubica, Donja Stubica","2","105","999 €","http://localhost:3000/listings/njuskalo-51219589","2","3","njuskalo-51219589"
"obiteljski stan blizu škola i trgovina","Apartment: Zagreb Ozaljska Street, 56 m² - Prime Location! (for rent)","Zagreb, Trešnjevka - Sjever","2","56","600 €","http://localhost:3000/listings/oglasnik-7091584","2","1","oglasnik-7091584"
"obiteljski stan blizu škola i trgovina","ZADAR, VOŠTARNICA - Apartment Near the Center","Zadar, Voštarnica","3","60","700 €","http://localhost:3000/listings/oglasnik-7088270","2","2","oglasnik-7088270"
"ugodan stan s lijepim pogledom","NEW BUILDING WITH SEA VIEW - VILANIJA, UMAG | 4 UNITS | 110 m² (for sale)","Umag, Vilanija","3","110","399.000 €","http://localhost:3000/listings/njuskalo-51231437","2","2","njuskalo-51231437"
"ugodan stan s lijepim pogledom","OPATIJA, 3-bedroom apartment with pool *** EXCLUSIVE ONLY WITH US *** (for sale)","Opatija, Opatija - Centar","4","158","895.000 €","http://localhost:3000/listings/njuskalo-43734558","2","3","njuskalo-43734558"
"ugodan stan s lijepim pogledom","MODERN TWO-STORY APARTMENT WITH GALLERY - PODSTRANA (for sale)","Podstrana, Podstrana","4","162","590.000 €","http://localhost:3000/listings/njuskalo-50194076","2","1","njuskalo-50194076"
"ugodan stan s lijepim pogledom","VELIKO POLJE, NEW CONSTRUCTION (for sale)","Zagreb, Novi Zagreb","2","48","166.810 €","http://localhost:3000/listings/njuskalo-51231547","1","1","njuskalo-51231547"
"ugodan stan s lijepim pogledom","VELIKO POLJE, NEW CONSTRUCTION (for sale)","Zagreb, Novi Zagreb","2","54","189.770 €","http://localhost:3000/listings/njuskalo-51231546","1","1","njuskalo-51231546"
"ugodan stan s lijepim pogledom","VELIKO POLJE, NEW CONSTRUCTION (for sale)","Zagreb, Novi Zagreb","3","64","223.300 €","http://localhost:3000/listings/njuskalo-51231551","1","1","njuskalo-51231551"
